"name";"length";"ftthJob_id";"nodeAName";"nodeBName"
1;16.2724072251416;NULL;5840;8885
2;46.4;NULL;48968;49049
3;11.181951076819;NULL;14200;73303
4;90.5;NULL;51578;51890
5;14.1874216764225;NULL;414;54637
6;44.4;NULL;54797;54991
7;61.8;NULL;72915;72815
8;14.8596798745125;NULL;24869;17795
9;21.6685371785022;NULL;5994;53893
10;27.4569092686132;NULL;30603;67338
11;46.5;NULL;66881;67036
12;6.71396380371636;NULL;22325;7818
13;58.1;NULL;51105;50778
14;100.5;NULL;64047;63731
15;28.6576349339474;NULL;12006;11042
16;8.27388350842337;NULL;14249;67063
17;17.313542795136;NULL;22635;67800
18;47.5969861487691;NULL;24514;66647
19;10.860988779583;NULL;25823;71436
20;26.3;NULL;74859;74795
21;17.2969714472532;NULL;32534;65502
22;15.4;NULL;67198;67263
23;358.6;NULL;66627;65505
24;69.8377057084175;NULL;75695;75691
25;33.3273080093495;NULL;16555;68759
26;81.5;NULL;68322;68393
27;13.6;NULL;48650;60509
28;22.9006574265437;NULL;22105;59389
29;28.1255728023086;NULL;18659;55735
30;23.5968157986336;NULL;27212;7773
31;22.2;NULL;69787;69727
32;8.11167063710172;NULL;2359;16133
33;10.1;NULL;49783;49762
34;9.45472591618556;NULL;29450;61802
35;12.4;NULL;71720;71687
36;5.29536140948243;NULL;20311;62474
37;60.9;NULL;55509;55643
38;13.2148677985173;NULL;10205;59190
39;19.0162217603114;NULL;25563;65729
40;12.6928302080947;NULL;24858;62286
41;73.5;NULL;61148;60846
42;13.5;NULL;60628;60617
43;34.5;NULL;64321;64359
44;14.0;NULL;61957;61933
45;72.1;NULL;63907;63898
46;18.8861586511867;NULL;24468;27679
47;29.8;NULL;71939;71849
48;25.3;NULL;48876;71238
49;69.4;NULL;59081;58844
50;45.2;NULL;72233;72082
51;72.8416828369318;NULL;33043;18290
52;25.3;NULL;50159;50172
53;22.7862417988325;NULL;31870;24642
54;24.7288394201292;NULL;5731;1005
55;15.036223017395;NULL;23814;7939
